City,Province,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Toronto, Ontario,377,405,428,453,482,493,510,517,531,542,557,589,629,679,699,732,734,731,727,743,742,768,761,778,822,841,878,900,941,959,1016,1083,1150,1206
Windsor, Ontario,262,275,293,306,333,348,361,387,381,396,405,441,441,452,471,484,498,492,504,506,502,510,466,488,487,508,507,527,542,553,567,610,697,709
Brandon, Manitoba,285,302,310,F,F,322,F,327,333,352,345,351,353,359,F,355,F,F,F,388,395,406,422,433,441,457,F,488,505,531,565,566,567,606
Winnipeg, Manitoba,283,302,304,311,321,328,330,330,336,330,332,340,339,341,359,379,380,390,407,421,452,466,448,491,526,530,581,588,615,636,658,700,736,761
Prince Albert, Saskatchewan,248,252,241,241,252,252,248,250,254,267,295,286,304,309,321,320,324,320,352,351,367,432,457,504,526,561,580,624,617,607,618,632,677,687
Regina, Saskatchewan,263,259,268,252,256,270,289,271,280,280,290,304,325,329,334,351,349,361,367,376,388,455,497,522,564,634,658,697,707,713,710,700,701,759
Saskatoon, Saskatchewan,268,270,265,269,274,276,280,278,286,303,313,324,340,347,356,362,371,372,374,395,436,518,569,600,634,656,667,694,687,705,685,702,723,731
Calgary, Alberta,296,303,317,351,362,372,360,352,356,368,387,432,454,475,493,515,511,518,526,621,692,780,709,710,708,779,874,907,905,860,825,881,902,886
Edmonton, Alberta,303,301,310,336,356,365,372,365,354,356,359,389,402,421,459,490,503,504,513,562,659,708,705,709,713,743,785,843,871,851,839,863,878,881
Grande Prairie, Alberta,310,324,329,353,362,360,361,375,410,403,441,464,452,444,483,501,500,532,554,688,802,717,669,633,650,724,795,831,848,727,730,806,841,F
High River, Alberta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,F,F,F,F,F,F,F,F,F,F,F,F,F
Lethbridge, Alberta,333,324,364,380,386,412,418,418,381,399,388,393,396,404,419,431,F,F,F,455,495,560,571,557,592,594,579,615,640,687,702,695,724,789
Medicine Hat, Alberta,277,240,F,256,266,F,255,289,297,262,289,306,328,321,365,F,F,F,F,462,515,525,556,538,543,529,519,555,618,626,656,722,683,731
Red Deer, Alberta,311,311,322,330,339,347,347,343,339,343,349,393,412,428,451,456,456,468,475,531,569,624,603,592,548,568,611,656,755,740,726,731,734,750
Abbotsford-Mission, British Columbia,286,284,312,352,368,374,376,388,408,401,406,413,411,411,420,439,445,442,450,494,520,522,552,546,560,559,575,581,589,619,627,674,758,762
Chilliwack, British Columbia,253,369,366,381,326,356,367,364,388,372,370,377,377,378,394,387,F,F,408,F,468,496,478,489,498,501,509,517,544,580,584,696,697,757
Courtenay, British Columbia,F,242,267,322,379,371,386,396,423,420,423,396,358,341,346,347,358,359,378,398,449,511,535,538,543,548,F,563,580,566,571,573,642,650
Kelowna, British Columbia,262,266,276,310,334,378,396,401,420,423,418,423,425,435,464,478,483,467,497,524,568,624,584,587,586,592,606,613,631,710,859,890,968,1038
Nanaimo, British Columbia,251,272,305,335,357,377,408,407,408,385,396,380,370,375,381,389,396,409,447,457,462,497,510,521,540,550,567,561,589,639,687,800,889,919
Vancouver, British Columbia,364,386,426,472,472,482,503,514,539,556,565,590,586,599,622,639,654,669,679,702,737,755,805,811,842,865,877,903,938,1014,1062,1152,1229,1259
Victoria, British Columbia,304,329,350,393,420,439,451,461,468,468,466,465,468,473,484,505,514,518,541,561,591,626,645,664,677,697,707,722,743,786,851,930,969,1019
Whitehorse, Yukon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Yellowknife, Northwest Territories,..,..,..,..,..,..,..,..,..,..,..,643,646,657,733,778,798,795,834,849,848,908,958,1015,1043,1136,1139,1169,1145,1160,1130,1183,1229,1240
