City,Province,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Sault Ste. Marie, Ontario,539,562,584,639,666,703,695,709,719,730,712,723,686,681,685,692,695,707,718,743,712,764,750,750,777,802,854,894,869,910,936,1015,965,1038
Stratford, Ontario,526,553,584,633,657,669,709,709,712,722,746,763,758,775,791,815,824,841,835,874,875,871,882,923,915,942,969,971,1007,1029,1085,1123,1163,1234
Thunder Bay, Ontario,504,F,631,662,699,761,766,811,832,848,858,845,855,871,854,873,877,862,827,840,869,858,890,941,981,1047,1060,1114,1170,1216,1138,1317,1376,1271
Toronto, Ontario,704,749,798,841,886,904,930,943,961,984,979,1048,1078,1163,1222,1245,1213,1238,1238,1268,1246,1278,1287,1318,1349,1393,1437,1437,1488,1502,1562,1628,1734,1834
Windsor, Ontario,578,510,591,610,623,662,724,678,671,759,721,706,715,924,958,1022,1063,950,1041,937,957,975,867,966,919,984,999,998,1005,1153,1159,1261,1280,1316
Brandon, Manitoba,F,F,550,F,578,583,558,563,573,574,592,594,F,F,601,620,628,628,697,710,692,745,744,747,754,793,792,918,1077,F,1109,1155,1215,1222
Winnipeg, Manitoba,610,608,640,622,642,663,670,661,675,668,672,679,686,734,715,726,783,794,804,850,880,924,956,1066,1057,1029,1186,1199,1237,1342,1397,1460,1555,1585
Prince Albert, Saskatchewan,433,436,441,453,461,459,448,455,476,480,480,496,535,545,543,535,568,571,580,594,625,653,826,847,877,929,971,987,983,950,950,949,949,962
Regina, Saskatchewan,581,574,583,584,584,590,586,583,590,616,624,631,649,619,664,683,701,731,723,751,810,915,975,1071,1111,1176,1209,1269,1252,1334,1300,1333,1278,1349
Saskatoon, Saskatchewan,503,503,510,500,515,516,505,508,521,542,563,569,599,599,600,635,633,628,627,636,730,858,918,955,1071,1050,1105,1163,1117,1197,1112,1195,1286,1288
Calgary, Alberta,620,576,661,688,714,697,671,653,672,674,731,792,802,824,859,908,907,884,913,1085,1293,1330,1257,1196,1280,1307,1345,1475,1441,1468,1453,1433,1479,1539
Edmonton, Alberta,507,515,539,579,613,615,613,594,588,594,597,626,658,673,737,779,801,808,817,906,1066,1174,1187,1175,1193,1220,1298,1370,1388,1381,1375,1377,1398,1388
Grande Prairie, Alberta,531,548,526,590,592,570,583,624,660,666,692,736,688,669,797,762,774,836,862,1086,1269,1154,945,941,950,1128,1277,1285,1283,1001,989,1117,1188,F
High River, Alberta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,F,F,F,F,F,F,F,F,F,F,F,F,F
Lethbridge, Alberta,513,493,525,517,564,588,584,580,599,595,583,582,609,616,643,695,686,728,707,767,829,890,930,866,940,966,951,1021,1037,1065,1061,1105,1166,1231
Medicine Hat, Alberta,422,440,458,467,468,502,496,457,493,483,518,528,532,539,544,612,618,636,613,647,732,750,754,749,750,761,778,870,920,945,960,970,1081,1130
Red Deer, Alberta,516,522,521,550,575,577,593,591,575,601,579,646,667,698,699,736,718,715,767,818,1039,1035,940,936,918,963,1061,1103,1138,1076,1106,1113,1168,1179
Abbotsford-Mission, British Columbia,F,F,498,608,641,675,703,794,733,751,763,719,726,743,756,738,759,770,786,785,800,815,860,875,921,938,953,958,972,1019,1056,1074,1479,1553
Chilliwack, British Columbia,F,F,556,605,623,F,712,713,711,694,688,665,650,661,645,667,656,672,655,F,740,763,799,762,744,783,800,810,802,867,912,1194,1355,1191
Courtenay, British Columbia,342,352,356,429,508,518,549,548,596,585,583,659,627,605,604,607,609,647,596,601,670,695,723,724,734,733,754,762,770,834,855,933,1030,1147
Kelowna, British Columbia,F,491,500,555,602,656,664,682,702,710,706,705,717,722,735,745,751,769,783,839,967,991,1024,1045,1084,1152,1208,1235,1096,1300,1309,1448,1654,1656
Nanaimo, British Columbia,395,418,483,552,617,640,671,673,696,721,721,686,675,678,683,704,704,744,801,823,813,897,927,969,958,966,1069,1021,1049,1180,1192,1300,1381,1415
Vancouver, British Columbia,706,738,849,876,901,904,942,957,1003,1007,1013,1003,1014,1023,1059,1132,1139,1156,1192,1229,1250,1336,1364,1431,1479,1481,1504,1552,1616,1641,1812,1934,2076,2222
Victoria, British Columbia,558,545,647,736,710,777,793,799,806,802,818,817,818,823,837,863,897,891,979,992,1035,1200,1198,1194,1203,1219,1236,1305,1356,1471,1556,1656,1774,1768
Whitehorse, Yukon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Yellowknife, Northwest Territories,..,..,..,..,..,..,..,..,..,..,..,1225,1216,1236,1280,1339,1387,1367,1402,1456,1463,1571,1582,1588,1702,1766,1786,1834,1949,1903,1957,1993,2049,2044
