City,Province,Year,Rent
Moncton, New Brunswick,1987,466
Moncton, New Brunswick,1988,478
Moncton, New Brunswick,1989,476
Moncton, New Brunswick,1990,516
Moncton, New Brunswick,1991,536
Moncton, New Brunswick,1992,559
Moncton, New Brunswick,1993,554
Moncton, New Brunswick,1994,530
Moncton, New Brunswick,1995,566
Moncton, New Brunswick,1996,562
Moncton, New Brunswick,1997,597
Moncton, New Brunswick,1998,606
Moncton, New Brunswick,1999,636
Moncton, New Brunswick,2000,611
Moncton, New Brunswick,2001,641
Moncton, New Brunswick,2002,673
Moncton, New Brunswick,2003,675
Moncton, New Brunswick,2004,709
Moncton, New Brunswick,2005,716
Moncton, New Brunswick,2006,728
Moncton, New Brunswick,2007,742
Moncton, New Brunswick,2008,795
Moncton, New Brunswick,2009,810
Moncton, New Brunswick,2010,840
Moncton, New Brunswick,2011,860
Moncton, New Brunswick,2012,998
Moncton, New Brunswick,2013,973
Moncton, New Brunswick,2014,987
Moncton, New Brunswick,2015,980
Moncton, New Brunswick,2016,1010
Moncton, New Brunswick,2017,984
Moncton, New Brunswick,2018,1009
Moncton, New Brunswick,2019,1000
Moncton, New Brunswick,2020,1112
